,time_stats.send_recv.min,time_stats.send_recv.max,time_stats.send_recv.mean,time_stats.send_recv.median,time_stats.send_recv.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
0,0.008096000000000004,0.008320000000006985,0.008181000000002313,0.008126999999999954,9.909927682539046e-05,0,2,2048,send_recv,2,4
1,0.009632000000000062,0.00972700000000009,0.00968500000000006,0.009696000000000026,3.955586766419318e-05,0,2,10240,send_recv,2,4
2,0.01273599999999999,0.012895999999999958,0.012810666666666635,0.012799999999999956,6.575374936499022e-05,0,2,18432,send_recv,2,4
3,0.013440000000000054,0.013600000000000136,0.013525333333333417,0.013536000000000058,6.575374936503365e-05,0,2,26624,send_recv,2,4
4,0.014336000000000014,0.014432000000000016,0.014389333333333336,0.014399999999999977,3.991101212558627e-05,0,2,34816,send_recv,2,4
5,0.014655999999999949,0.01481600000000003,0.01474133333333331,0.014751999999999953,6.575374936503365e-05,0,2,43008,send_recv,2,4
6,0.014785000000000083,0.014942999999999984,0.014879666666666708,0.014911000000000058,6.820231341788097e-05,0,2,51200,send_recv,2,4
7,0.015456000000000018,0.015583999999999947,0.015530333333333375,0.015551000000000158,5.4260687631300755e-05,0,2,59392,send_recv,2,4
8,0.016257000000000063,0.01635200000000009,0.01629899999999998,0.016287999999999785,3.955586766422409e-05,0,2,67584,send_recv,2,4
9,0.01628800000000001,0.016383999999999902,0.016340999999999935,0.016350999999999886,3.982461550343023e-05,0,2,75776,send_recv,2,4
10,0.016254999999999995,0.01632000000000005,0.016277000000000045,0.016256000000000086,3.04083321914727e-05,0,2,83968,send_recv,2,4
11,0.01638299999999981,0.016575000000000045,0.01644733333333329,0.016384000000000017,9.027488884272723e-05,0,2,92160,send_recv,2,4
12,0.016704000000000177,0.016864000000000032,0.016810333333333347,0.01686299999999983,7.519012937572428e-05,0,2,100352,send_recv,2,4
13,0.01692800000000011,0.01705600000000004,0.01698133333333336,0.016959999999999923,5.438954147831551e-05,0,2,108544,send_recv,2,4
14,0.017152000000000046,0.017215999999999895,0.017183999999999967,0.01718399999999997,2.6127890589625547e-05,0,2,116736,send_recv,2,4
15,0.01721600000000001,0.017375,0.01730099999999997,0.017311999999999897,6.537583651471549e-05,0,2,124928,send_recv,2,4
16,0.01721600000000001,0.017279999999999972,0.01725866666666665,0.017279999999999972,3.016988933060877e-05,0,2,133120,send_recv,2,4
17,0.017215999999999895,0.01734400000000005,0.017269333333333293,0.017247999999999934,5.438954147838923e-05,0,2,141312,send_recv,2,4
18,0.017248000000000048,0.017440000000000056,0.01734400000000005,0.01734400000000005,7.838367176906503e-05,0,2,149504,send_recv,2,4
19,0.017023999999999886,0.01705600000000004,0.01703499999999993,0.017024999999999863,1.4854853303515656e-05,0,2,157696,send_recv,2,4
20,0.016832000000000107,0.016959999999999923,0.016895999999999998,0.01689599999999996,5.2255781179299247e-05,0,2,165888,send_recv,2,4
21,0.017023999999999886,0.017087999999999964,0.017055999999999925,0.017055999999999925,2.612789058971903e-05,0,2,174080,send_recv,2,4
22,0.01715100000000007,0.017279999999999972,0.017194333333333364,0.017152000000000046,6.057685660011339e-05,0,2,182272,send_recv,2,4
23,0.017247999999999934,0.01737599999999998,0.017290666666666617,0.017247999999999934,6.033977866127315e-05,0,2,190464,send_recv,2,4
24,0.01734400000000005,0.017408000000000017,0.017386666666666658,0.017407999999999903,3.016988933058342e-05,0,2,198656,send_recv,2,4
25,0.01734400000000005,0.017534999999999967,0.017439666666666655,0.01743999999999994,7.797577971535084e-05,0,2,206848,send_recv,2,4
26,0.017407999999999903,0.017568000000000097,0.01747200000000002,0.017440000000000056,6.912790078308364e-05,0,2,215040,send_recv,2,4
27,0.01715100000000007,0.01718399999999997,0.017172666666666676,0.017182999999999993,1.5326085243388857e-05,0,2,223232,send_recv,2,4
28,0.017119999999999892,0.01718399999999997,0.01714133333333329,0.017120000000000003,3.0169889330636574e-05,0,2,231424,send_recv,2,4
29,0.017152000000000046,0.01737599999999998,0.01724800000000005,0.017216000000000124,9.420544924079102e-05,0,2,239616,send_recv,2,4
30,0.01718399999999997,0.01740899999999999,0.017301666666666656,0.01731200000000001,9.21460193871153e-05,0,2,247808,send_recv,2,4
31,0.017248000000000048,0.017407999999999903,0.01734366666666665,0.017375,6.897503574155183e-05,0,2,256000,send_recv,2,4
32,0.019807999999999992,0.019903999999999998,0.01987166666666667,0.01990300000000002,4.502098276237006e-05,0,2,264192,send_recv,2,4
33,0.01983999999999992,0.019903999999999544,0.01987166666666652,0.019871000000000093,2.613214282986938e-05,0,2,272384,send_recv,2,4
34,0.019840000000000146,0.01993500000000006,0.019882333333333425,0.01987200000000007,3.946587837047438e-05,0,2,280576,send_recv,2,4
35,0.019902999999999907,0.02003200000000004,0.01996733333333331,0.019966999999999985,5.266455691982275e-05,0,2,288768,send_recv,2,4
36,0.019839000000000055,0.019966999999999985,0.019903333333333346,0.019903999999999998,5.2257907429267616e-05,0,2,296960,send_recv,2,4
37,0.019871999999999845,0.019903999999999998,0.01988266666666664,0.01987200000000007,1.5084944665332188e-05,0,2,305152,send_recv,2,4
38,0.01983999999999992,0.019936000000000037,0.01990399999999996,0.019935999999999923,4.5254833995967126e-05,0,2,313344,send_recv,2,4
39,0.019903999999999998,0.019936000000000148,0.01991466666666687,0.019904000000000453,1.508494466527658e-05,0,2,321536,send_recv,2,4
40,0.019999000000000024,0.02003200000000004,0.020020999999999997,0.020031999999999925,1.555634918608444e-05,0,2,329728,send_recv,2,4
