,time_stats.all_reduce.min,time_stats.all_reduce.max,time_stats.all_reduce.mean,time_stats.all_reduce.median,time_stats.all_reduce.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
0,0.012800000000000183,0.06777499999999964,0.031188999999999967,0.012992000000000076,0.025870327442844402,0,4,2048,all_reduce,4,4
1,0.08611099999999988,0.09452700000000004,0.09003766666666668,0.08947500000000014,0.003458777176337894,0,4,10240,all_reduce,4,4
2,0.03187300000000005,0.047327,0.04184500000000003,0.046335000000000036,0.007062889116124255,0,4,18432,all_reduce,4,4
3,0.03478399999999988,0.04681600000000003,0.04243166666666662,0.04569499999999994,0.005427047345370175,0,4,26624,all_reduce,4,4
4,0.04572700000000009,0.04745499999999993,0.04671933333333337,0.046976000000000115,0.0007284249370311368,0,4,34816,all_reduce,4,4
5,0.0453430000000003,0.04812799999999993,0.04645266666666672,0.04588699999999994,0.0012052773770196118,0,4,43008,all_reduce,4,4
6,0.02032000000000005,0.047230999999999995,0.037930000000000026,0.04623900000000004,0.012458734312387684,0,4,51200,all_reduce,4,4
7,0.02019200000000001,0.04854399999999987,0.038634666666666595,0.04716799999999989,0.013053027984171106,0,4,59392,all_reduce,4,4
8,0.04569499999999994,0.04703899999999999,0.04637766666666664,0.046399,0.0005488930274248163,0,4,67584,all_reduce,4,4
9,0.04761400000000003,0.04947199999999998,0.048233666666666675,0.04761500000000001,0.0008756339925384668,0,4,75776,all_reduce,4,4
10,0.04511900000000003,0.04838400000000002,0.046559333333333404,0.04617500000000018,0.0013603529770696173,0,4,83968,all_reduce,4,4
11,0.02070399999999995,0.020799999999999954,0.02074633333333327,0.0207349999999999,4.000277768133983e-05,0,4,92160,all_reduce,4,4
12,0.024320999999999912,0.044639999999999874,0.03490133333333324,0.03574299999999994,0.00831651939749368,0,4,100352,all_reduce,4,4
13,0.020799999999999954,0.045791999999999916,0.029141333333333252,0.020831999999999882,0.011773806559005838,0,4,108544,all_reduce,4,4
14,0.046336000000000016,0.047327999999999974,0.04668766666666663,0.046398999999999885,0.00045351393461380687,0,4,116736,all_reduce,4,4
15,0.020672000000000027,0.04585500000000002,0.029109,0.020799999999999954,0.011841325460718786,0,4,124928,all_reduce,4,4
16,0.020416000000000167,0.04678399999999988,0.03787733333333332,0.046431999999999904,0.012347863440917718,0,4,133120,all_reduce,4,4
17,0.020960000000000038,0.047807000000000016,0.03869833333333334,0.047327999999999974,0.012544420069851311,0,4,141312,all_reduce,4,4
18,0.02095900000000006,0.046975000000000024,0.029705666666666696,0.021182999999999994,0.012211605117901392,0,4,149504,all_reduce,4,4
19,0.021279999999999973,0.04585500000000002,0.03761066666666663,0.04569699999999989,0.011547705293934176,0,4,157696,all_reduce,4,4
20,0.021151999999999817,0.048416000000000056,0.03885866666666664,0.047008000000000036,0.01253369190976432,0,4,165888,all_reduce,4,4
21,0.021119999999999892,0.04755199999999991,0.0384209999999999,0.046590999999999896,0.01223994365455441,0,4,174080,all_reduce,4,4
22,0.021152000000000046,0.04598299999999995,0.029652333333333294,0.02182199999999989,0.011550764197902894,0,4,182272,all_reduce,4,4
23,0.021182999999999994,0.04735900000000004,0.030090000000000033,0.021728000000000067,0.012213053863250861,0,4,190464,all_reduce,4,4
24,0.021343000000000074,0.04803199999999993,0.030250333333333324,0.02137599999999998,0.012573544298336133,0,4,198656,all_reduce,4,4
25,0.04742499999999995,0.048223999999999934,0.047882666666666636,0.04799900000000003,0.0003364028669451112,0,4,206848,all_reduce,4,4
26,0.021568000000000212,0.048159000000000105,0.03878366666666678,0.04662400000000003,0.012189433684776086,0,4,215040,all_reduce,4,4
27,0.021760999999999968,0.04799900000000003,0.039125,0.04761500000000001,0.012279202905726438,0,4,223232,all_reduce,4,4
28,0.021728000000000067,0.04873599999999999,0.03923200000000001,0.04723199999999997,0.012392417466606975,0,4,231424,all_reduce,4,4
29,0.021791999999999916,0.049184999999999944,0.038976333333333286,0.045952,0.01222263082246301,0,4,239616,all_reduce,4,4
30,0.02172699999999986,0.04707200000000012,0.030175666666666684,0.021728000000000067,0.011947511884163329,0,4,247808,all_reduce,4,4
31,0.021695999999999913,0.048,0.03889066666666668,0.046976000000000115,0.012165650149316197,0,4,256000,all_reduce,4,4
32,0.021984000000000153,0.05100800000000004,0.04009566666666676,0.04729500000000007,0.012896277094141848,0,4,264192,all_reduce,4,4
33,0.020831999999999427,0.058527000000000044,0.04385033333333301,0.05219199999999955,0.016480610998652192,0,4,272384,all_reduce,4,4
34,0.022303999999999633,0.05014600000000007,0.04037399999999991,0.04867200000000003,0.012791581710901577,0,4,280576,all_reduce,4,4
35,0.04943999999999994,0.051104000000000045,0.05005766666666663,0.04962899999999991,0.0007438818603933715,0,4,288768,all_reduce,4,4
36,0.04716699999999992,0.04764699999999993,0.04733766666666664,0.04719900000000007,0.0002191214782311663,0,4,296960,all_reduce,4,4
37,0.0477120000000001,0.055615999999999985,0.050687666666666666,0.0487349999999999,0.00350979432762407,0,4,305152,all_reduce,4,4
38,0.04739199999999994,0.05305499999999984,0.04981299999999991,0.048991999999999966,0.0023836838436895173,0,4,313344,all_reduce,4,4
39,0.04742399999999998,0.050271999999999935,0.04910899999999999,0.049631000000000085,0.0012198740372131329,0,4,321536,all_reduce,4,4
40,0.04662400000000003,0.050206999999999884,0.04815966666666661,0.04764799999999991,0.0015068342827117384,0,4,329728,all_reduce,4,4
41,0.04915200000000004,0.05158300000000009,0.050272000000000046,0.05008100000000002,0.001001599054845155,0,4,337920,all_reduce,4,4
