time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.37334,0.38681200000000004,0.38075233333333336,0.381021,0.004384860364104926,0.17535900000000001,0.179998,0.1779151,0.1781745,0.0016639956400183247,0.602843,0.6238980000000001,0.61524385,0.6164580000000001,0.00839270531041691,0.039967,0.042495,0.0411597,0.041264,0.0005723063952115157,0.632986,0.654329,0.6457971500000002,0.6477059999999999,0.008036884615788638,0.17503800000000003,0.179006,0.17747490000000005,0.1779985,0.0014445002215299231,3.3867190000000003,3.499615,3.4575272,3.4608790000000003,0.043442865691158114,0.167231,0.17036600000000002,0.16906545,0.1693105,0.0008777135908142262,1.749231,1.808335,1.78618315,1.788351,0.022906728219619223,0.14150200000000002,0.14262200000000003,0.14200970000000002,0.1419665,0.0002948430260324971,64,8,8192,28672,32768,True,4096,4
0.372315,0.384219,0.3793931428571429,0.381019,0.004016439601790366,0.17478200000000002,0.17932599999999999,0.17740110000000003,0.177774,0.001604981772482163,0.601336,0.621848,0.6139664,0.6179600000000001,0.008426577047651086,0.040095,0.041823,0.04102835,0.041136,0.0004433083887092594,0.6320880000000001,0.6535599999999999,0.6444458500000001,0.6450315,0.008101092168806605,0.17471799999999998,0.17897300000000002,0.1770969,0.1776935,0.0016007817746338826,3.3798600000000003,3.4925300000000004,3.4506247500000007,3.472834,0.046681160783419884,0.167517,0.170141,0.16902165000000002,0.16927799999999998,0.000886160441173041,1.747817,1.8062159999999998,1.7856708000000001,1.805752,0.024804721465075903,0.14147,0.14307,0.14209580000000002,0.141982,0.0004534986879804588,64,8,8192,28672,32768,True,4096,4
0.37106900000000004,0.457884,0.3939501904761905,0.376605,0.03280793951037004,0.17459100000000002,0.206142,0.18221115,0.176558,0.011815173000320395,0.6046670000000001,0.769466,0.6436008,0.6117545,0.06282066242853541,0.040032,0.048544,0.042121200000000004,0.0406555,0.0030825058248120153,0.632539,0.797337,0.6728614500000001,0.641338,0.062135052226158935,0.173823,0.20502199999999998,0.1814176,0.175678,0.011628535945681213,3.388642,4.306906,3.60675265,3.4252505,0.35000350872888036,0.166239,0.186559,0.17114415,0.167518,0.007621771547842406,1.754321,2.226988,1.84145755,1.7699845,0.1621045826179738,0.13900700000000002,0.142079,0.1408996,0.1409105,0.0007196653666809285,64,8,8192,28672,32768,True,4064,4
0.374045,0.45254000000000005,0.39791952380952383,0.377789,0.0328743684706592,0.175967,0.205214,0.1838865,0.1771985,0.011977945614753807,0.61721,0.768601,0.65786455,0.6239945,0.06385827898751655,0.040319,0.048256,0.0425917,0.040959499999999996,0.0031485971812856613,0.6454979999999999,0.797657,0.6868304999999999,0.6526179999999999,0.06364490650594122,0.175358,0.20451,0.18321905,0.1767825,0.011949072145882282,3.4623359999999996,4.310168,3.6567373000000005,3.5015515,0.32791146392190984,0.166238,0.18578999999999998,0.17079214999999998,0.1673105,0.007397127221259617,1.789456,2.227435,1.8882994,1.8093910000000002,0.1700507151253413,0.137535,0.141054,0.13937465,0.1395505,0.0009123974065614174,64,8,8192,28672,32768,True,4032,4
0.36770800000000003,0.37557999999999997,0.3711705714285714,0.370524,0.0025245684887563913,0.173182,0.176254,0.17426539999999996,0.17370999999999998,0.0009942787536702164,0.607834,0.621722,0.6131206,0.61049,0.004920125347996724,0.039520000000000007,0.040736,0.04003815,0.039983500000000005,0.0003350283980500735,0.63673,0.651866,0.6422291,0.6390495,0.004910453063618464,0.17283,0.175743,0.17397455,0.1737905,0.0008879474350996212,3.415808,3.49152,3.4452685,3.438624,0.026972751807147925,0.164063,0.166046,0.1648977,0.1647825,0.0005294038250711837,1.7665440000000001,1.806,1.7790920500000003,1.7693915,0.013807900359848344,0.13772700000000002,0.139231,0.13823725000000003,0.13814300000000002,0.00033834462830078745,64,8,8192,28672,32768,True,4000,4
0.363196,0.370555,0.36656747619047625,0.36646,0.0019541689895987177,0.170814,0.17334100000000002,0.17170985,0.17163,0.0006545766017052588,0.607448,0.6150639999999999,0.6092656499999999,0.6080559999999999,0.0027457973391166366,0.038944000000000006,0.039871000000000004,0.03939785,0.039424,0.0002280384342605422,0.6344879999999999,0.644888,0.63754375,0.636584,0.002767107729652043,0.170589,0.17308500000000002,0.17161055,0.171326,0.0007183255163921179,3.4145790000000003,3.454418,3.4252288,3.416227,0.0163752383909365,0.162558,0.16428600000000002,0.16330660000000002,0.163182,0.00045011814004769843,1.766153,1.786729,1.7708682000000002,1.7669535,0.007783237954733248,0.136031,0.138046,0.13692929999999998,0.136862,0.0004361967560631301,64,8,8192,28672,32768,True,3968,4
0.359773,0.366173,0.36273809523809525,0.362557,0.0013948313741661733,0.169183,0.171935,0.17065935000000002,0.1708305,0.0008062460713082546,0.601563,0.616603,0.6080682500000001,0.6098505,0.004049435477631425,0.038496,0.039264,0.03889745,0.038944000000000006,0.000217011629872687,0.629595,0.6433860000000001,0.6363831999999999,0.6378185000000001,0.00389235426959061,0.168575,0.171839,0.17007049999999999,0.17025400000000002,0.0007644513391969429,3.381027,3.4598739999999997,3.4163353499999993,3.423251,0.021877319797623723,0.160799,0.162494,0.16159195,0.161678,0.00045210855720722405,1.747473,1.788561,1.765628,1.7689925,0.011776654635336802,0.134719,0.136447,0.13593325,0.136015,0.00042370589740998164,64,8,8192,28672,32768,True,3936,4
0.357565,0.367388,0.36185295238095233,0.361437,0.0023438700085073047,0.169055,0.170974,0.16994720000000002,0.17003050000000003,0.0006086645710077103,0.607642,0.621115,0.612276,0.61433,0.0037151257852191095,0.038368000000000006,0.039551,0.0389181,0.038944,0.0003241306680954457,0.635354,0.647962,0.6405014500000001,0.6422829999999999,0.003525713820987156,0.16819,0.170686,0.16956175,0.169822,0.0007510686303527805,3.416322,3.491553,3.4429144000000003,3.452961,0.02020096856935333,0.159935,0.162238,0.16097455,0.1609585,0.0004947422030714575,1.766864,1.805935,1.7805087499999999,1.7861115,0.012212565106786569,0.134239,0.135583,0.13490894999999997,0.134878,0.0003610598946158369,64,8,8192,28672,32768,True,3904,4
0.352541,0.359549,0.35655438095238096,0.356445,0.001629749483412963,0.166046,0.168254,0.16742715000000002,0.1676145,0.0006079468952959629,0.600923,0.614106,0.6075863,0.607626,0.003184435932783093,0.037823,0.038944000000000006,0.038417400000000004,0.0384315,0.0003624823306038529,0.62873,0.6409199999999999,0.6354226,0.6359140000000001,0.0027460269554394246,0.16617500000000002,0.168254,0.16724804999999998,0.16731000000000001,0.0004386463809265917,3.377696,3.440735,3.4149246500000006,3.4155995,0.014040701415082563,0.15801400000000002,0.159423,0.15900475,0.159134,0.00035610614639458376,1.746992,1.76904,1.7643866,1.7666555000000002,0.007285947257563695,0.13187100000000002,0.13417500000000002,0.13332680000000002,0.133471,0.0006666862530456105,64,8,8192,28672,32768,True,3872,4
0.35439600000000004,0.361563,0.3575784285714286,0.357115,0.0018880338619700527,0.166814,0.16867,0.16769055,0.167662,0.0006168873053483915,0.6144550000000001,0.621784,0.6175998,0.6148560000000001,0.0033071583209758866,0.037728000000000005,0.038687,0.038269950000000004,0.0382555,0.00024735288051688304,0.607383,0.615096,0.6105152000000001,0.60852,0.00300222894863132,0.166526,0.168606,0.16734670000000001,0.16726200000000002,0.000644913955501046,3.252053,3.288757,3.2655359500000003,3.2528850000000005,0.016853164888159695,0.157918,0.159454,0.1586922,0.158654,0.00038658318639071706,1.611211,1.6298030000000001,1.6179849499999999,1.6120904999999999,0.008322714668153687,0.13401400000000002,0.13503800000000002,0.13448464999999998,0.1344305,0.0002484625273557357,64,8,8192,28672,32768,True,3840,4
0.346974,0.357757,0.35258690476190474,0.35330900000000004,0.0033474038967642593,0.164063,0.16761500000000001,0.16603880000000001,0.166591,0.0011862708628302397,0.6041219999999999,0.6153869999999999,0.6115099500000001,0.6149865,0.004987820079704171,0.036704,0.03824,0.03771315,0.037775,0.000349835286241969,0.595195,0.60825,0.60368605,0.6071945000000001,0.00539192490187874,0.164063,0.166687,0.16574730000000001,0.1662545,0.0009543825281300993,3.1949490000000003,3.2594279999999998,3.2356122999999997,3.2525320000000004,0.02501539113845709,0.155295,0.15737500000000001,0.1564724,0.156719,0.00064125239960565,1.577299,1.6161780000000001,1.6027158500000003,1.612146,0.015330522209875961,0.132159,0.134143,0.13337985,0.133327,0.00047790765582903134,64,8,8192,28672,32768,True,3808,4
0.353724,0.362812,0.35659214285714286,0.356284,0.0019252634027758513,0.166751,0.16867,0.16781580000000001,0.1679025,0.0005739381151308895,0.621274,0.631001,0.6263422500000001,0.6281055,0.003177586141633294,0.037567,0.038431,0.0379739,0.0379835,0.0002413513828425263,0.6116739999999999,0.6218830000000001,0.61698535,0.6186495000000001,0.0033708388017672972,0.166526,0.16819,0.16735975,0.167438,0.0005718800464258203,3.2871010000000003,3.335133,3.3145795,3.324173,0.016792075832070198,0.15564599999999998,0.15731,0.15654555,0.156623,0.00047558022193948044,1.629423,1.6522059999999998,1.64207715,1.6479190000000001,0.008766660391933733,0.13043100000000002,0.132447,0.13185295,0.1319345,0.000447103844201766,64,8,8192,28672,32768,True,3776,4
0.339933,0.352125,0.34531957142857145,0.34553300000000003,0.003492191610564623,0.161182,0.16466999999999998,0.16318080000000001,0.1630385,0.00104610007169486,0.6018819999999999,0.616091,0.6079097000000001,0.607962,0.005917519041794477,0.036192,0.037696,0.036943500000000004,0.0370075,0.0003884083546990205,0.48991500000000004,0.503355,0.49578419999999995,0.4953075,0.005274889549554576,0.161054,0.164606,0.16275860000000003,0.163071,0.0011477436299104423,3.1806750000000004,3.2570900000000003,3.2148244,3.21557,0.03194969106798998,0.15279900000000002,0.154591,0.15366745,0.153535,0.0005860455165769976,1.576497,1.614385,1.59392435,1.593969,0.016641056604900423,0.129599,0.13196700000000003,0.13072365000000002,0.13073450000000003,0.0004761757317419724,64,8,8192,28672,32768,True,3744,4
0.3407,0.35029899999999997,0.34558642857142857,0.34559500000000004,0.002223211288963362,0.161022,0.16355,0.16212115,0.162078,0.0005491526449904429,0.606872,0.620216,0.61326245,0.6139439999999999,0.00296714680248552,0.036128,0.037247999999999996,0.03667335000000001,0.036671999999999996,0.0002590845952579963,0.495161,0.505113,0.5003200999999999,0.500842,0.002266251506342577,0.16054200000000002,0.162845,0.16204580000000002,0.16223749999999998,0.0006628086903473687,3.214678,3.287413,3.24818695,3.2511900000000002,0.01623574303034819,0.152254,0.153438,0.15283005,0.1527985,0.00029898502888940734,1.5931,1.629164,1.6095089999999999,1.6112595,0.007823657431150714,0.127582,0.130462,0.12934080000000003,0.12930999999999998,0.0005695097540867933,64,8,8192,28672,32768,True,3712,4
0.340572,0.34697300000000003,0.3427063333333333,0.342461,0.0014035424004429906,0.16031800000000002,0.161663,0.16115209999999996,0.16118300000000002,0.000310775948232805,0.607355,0.616059,0.61431315,0.6142345,0.001802585262199835,0.036031,0.036992,0.036362900000000004,0.036319000000000004,0.00025477183910314666,0.495772,0.502811,0.5012835499999999,0.501324,0.0014631717081395566,0.159838,0.161471,0.16076015000000002,0.160846,0.0004604675097115984,3.2267240000000004,3.257956,3.2509526,3.2510755,0.008314474796401712,0.15087899999999999,0.15190299999999998,0.15147715,0.151503,0.0002655575785022897,1.59397,1.615954,1.611842,1.611586,0.004497798228022231,0.126175,0.128863,0.12766614999999998,0.12783899999999998,0.0006424538329716761,64,8,8192,28672,32768,True,3680,4
